OTU_ID,Kingdom,Phylum,Class,Order,Family ,Genus,Species,Label
FOTU_4390,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4390_unidentified
FOTU_4384,Fungi,Chytridiomycota,GS14,unidentified,unidentified,unidentified,GS14_sp,FOTU_4384_GS14
FOTU_4386,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4386_unidentified
FOTU_4387,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4387_unidentified
FOTU_4379,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4379_Fungi
FOTU_4388,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Phanerochaete,unidentified,FOTU_4388_Phanerochaete
FOTU_4391,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,Coprinellus_brevisetulosus,FOTU_4391_Coprinellus_brevisetulosus
FOTU_4407,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4407_unidentified
FOTU_4394,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4394_unidentified
FOTU_4389,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi_sp,FOTU_4389_Fungi
FOTU_4392,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4392_unidentified
FOTU_4393,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,unidentified,unidentified,unidentified,FOTU_4393_Rhizophydiales
FOTU_4398,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi_sp,FOTU_4398_Fungi
FOTU_4396,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4396_unidentified
FOTU_4402,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4402_unidentified
FOTU_4403,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4403_unidentified
FOTU_4397,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4397_unidentified
FOTU_4405,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4405_unidentified
FOTU_4399,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitocella,Clitocella_popinalis,FOTU_4399_Clitocella_popinalis
FOTU_4406,Mocki,Mockmycota,Mockomycetes,Mockoales,Mockoaecea,Mock,unidentified,FOTU_4406_Mock
FOTU_4408,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4408_unidentified
FOTU_4400,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,Coprinellus_flocculosus,FOTU_4400_Coprinellus_flocculosus
FOTU_4404,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4404_unidentified
FOTU_4401,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi_sp,FOTU_4401_Fungi
FOTU_4409,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4409_unidentified
FOTU_4413,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4413_unidentified
FOTU_4414,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4414_unidentified
FOTU_4410,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4410_unidentified
FOTU_4412,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4412_unidentified
FOTU_4415,Fungi,Basidiomycota,Agaricomycetes,Geastrales,Geastraceae,Geastrum,Geastrum_triplex,FOTU_4415_Geastrum_triplex
FOTU_4421,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4421_unidentified
FOTU_4432,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4432_unidentified
FOTU_4427,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4427_unidentified
FOTU_4418,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4418_unidentified
FOTU_4419,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4419_unidentified
FOTU_4426,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4426_unidentified
FOTU_4422,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,unidentified,unidentified,FOTU_4422_Hymenochaetaceae
FOTU_4416,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_ord_Incertae_sedis,Thyridiaceae,Pseudoneoconiothyrium,Pseudoneoconiothyrium_euonymi,FOTU_4416_Pseudoneoconiothyrium_euonymi
FOTU_4423,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4423_unidentified
FOTU_4411,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4411_unidentified
FOTU_4424,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4424_unidentified
FOTU_4420,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4420_unidentified
FOTU_4425,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4425_unidentified
FOTU_4430,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4430_unidentified
FOTU_4417,Fungi,Ascomycota,Dothideomycetes,Capnodiales,unidentified,unidentified,Capnodiales_sp,FOTU_4417_Capnodiales
FOTU_4428,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4428_unidentified
FOTU_4429,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4429_unidentified
FOTU_4395,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariales_fam_Incertae_sedis,Robillarda,unidentified,FOTU_4395_Robillarda
FOTU_4433,Mocki,Mockmycota,Mockomycetes,Mockoales,Mockoaecea,Mock,unidentified,FOTU_4433_Mock
FOTU_4437,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4437_unidentified
FOTU_4438,Fungi,Basidiomycota,Agaricomycetes,Gomphales,Gomphaceae,Ramaria,unidentified,FOTU_4438_Ramaria
FOTU_4431,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium_strumarium,FOTU_4431_Chaetomium_strumarium
FOTU_4440,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4440_unidentified
FOTU_4442,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4442_unidentified
FOTU_4444,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4444_unidentified
FOTU_4439,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi_sp,FOTU_4439_Fungi
FOTU_4445,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4445_unidentified
FOTU_4441,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4441_unidentified
FOTU_4448,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4448_unidentified
FOTU_4443,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4443_unidentified
FOTU_4450,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4450_unidentified
FOTU_4452,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4452_unidentified
FOTU_4434,Fungi,Ascomycota,Dothideomycetes,unidentified,unidentified,unidentified,unidentified,FOTU_4434_Dothideomycetes
FOTU_4447,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4447_unidentified
FOTU_4436,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4436_unidentified
FOTU_4449,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4449_unidentified
FOTU_4446,Fungi,Ascomycota,Sordariomycetes,Sordariales,Cephalothecaceae,Phialemonium,Phialemonium_inflatum,FOTU_4446_Phialemonium_inflatum
FOTU_4451,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi_sp,FOTU_4451_Fungi
FOTU_4453,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4453_unidentified
FOTU_4435,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Dinemasporium,unidentified,FOTU_4435_Dinemasporium
FOTU_4464,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4464_unidentified
FOTU_4459,Fungi,Basidiomycota,Agaricomycetes,Russulales,Lachnocladiaceae,Asterostroma,Asterostroma_cervicolor,FOTU_4459_Asterostroma_cervicolor
FOTU_4460,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4460_unidentified
FOTU_4454,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4454_unidentified
FOTU_4455,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4455_unidentified
FOTU_4456,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremataceae,Papiliotrema,Papiliotrema_mangalensis,FOTU_4456_Papiliotrema_mangalensis
FOTU_4458,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4458_unidentified
FOTU_4461,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,unidentified,unidentified,FOTU_4461_Ceratobasidiaceae
FOTU_4457,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,unidentified,unidentified,FOTU_4457_Coniochaetaceae
FOTU_4462,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Lipomycetaceae,Lipomyces,Lipomyces_starkeyi,FOTU_4462_Lipomyces_starkeyi
FOTU_4463,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4463_unidentified
FOTU_4468,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4468_unidentified
FOTU_4469,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4469_unidentified
FOTU_4466,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4466_unidentified
FOTU_4467,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4467_unidentified
FOTU_4475,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Fomitiporella,Fomitiporella_sp,FOTU_4475_Fomitiporella_sp
FOTU_4470,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,unidentified,unidentified,FOTU_4470_Psathyrellaceae
FOTU_4465,Fungi,Basidiomycota,Agaricomycetes,Gloeophyllales,Gloeophyllaceae,Gloeophyllum,Gloeophyllum_sepiarium,FOTU_4465_Gloeophyllum_sepiarium
FOTU_4477,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4477_unidentified
FOTU_4472,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4472_unidentified
FOTU_4478,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4478_unidentified
FOTU_4479,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,unidentified,unidentified,Spizellomycetales_sp,FOTU_4479_Spizellomycetales
FOTU_4480,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4480_unidentified
FOTU_4473,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi_sp,FOTU_4473_Fungi
FOTU_4471,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenales_fam_Incertae_sedis,Chrysosporium,Chrysosporium_pseudomerdarium,FOTU_4471_Chrysosporium_pseudomerdarium
FOTU_4476,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4476_unidentified
FOTU_4484,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4484_unidentified
FOTU_4485,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4485_unidentified
FOTU_4481,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma,unidentified,FOTU_4481_Tulostoma
FOTU_4482,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4482_unidentified
